numero_station,date_heure,co,no,no2,pm2_5,pst,pm10,o3,so2,bc1_370nm,bc6_880nm,Benzene,Toluene,Ethylbenzene,M P-Xylene,O-Xylene
3,2020-01-06 22:00,N/M,10.24383,30.90689,28.7004,N/M,N/M,1.530704,0.033323,N/M,N/M,4.7445,5.57186,0.462722,2.119888,0.528693
3,2020-01-06 23:00,N/M,14.26919,32.82431,22.96123,N/M,N/M,0.68958,0.047945,N/M,N/M,3.028054,5.797359,0.623637,2.602638,0.731887
3,2020-01-06 00:00,N/M,5.381109,31.51247,15.54576,N/M,N/M,1.014397,0.00905,N/M,N/M,1.695111,3.687916,0.473111,1.864804,0.541194
3,2020-01-07 01:00,N/M,0.812606,26.53017,17.22345,N/M,N/M,4.132668,0.001302,N/M,N/M,1.27161,2.851804,0.347887,1.377722,0.403277
3,2020-01-07 02:00,N/M,0.386581,20.29458,19.7267,N/M,N/M,9.008241,0.022692,N/M,N/M,1.154665,2.326582,0.357499,1.282361,0.355776
3,2020-01-07 03:00,N/M,1.173437,23.3108,18.5996,N/M,N/M,6.76736,0.098582,N/M,N/M,5.818611,12.24706,0.844666,8.155887,1.049
3,2020-01-07 04:00,N/M,0,6.332898,8.0731,N/M,N/M,23.52315,0,N/M,N/M,16.09519,5.619944,0.544387,4.1605,0.85525
3,2020-01-07 05:00,N/M,0.081211,6.01803,4.720665,N/M,N/M,24.64535,0.002268,N/M,N/M,2.930193,1.246777,0.143721,0.530402,0.133916
3,2020-01-07 06:00,N/M,0.143399,6.316693,4.3983,N/M,N/M,24.69108,0.007141,N/M,N/M,1.057638,1.971554,0.250138,0.621388,0.232832
3,2020-01-07 07:00,N/M,0.613066,11.27004,4.200432,N/M,N/M,19.88706,0,N/M,N/M,0.86436,2.247138,0.28286,0.889083,0.180055
3,2020-01-07 08:00,N/M,3.296772,17.77342,4.904532,N/M,N/M,14.39922,0,N/M,N/M,2.222776,3.088193,0.348901,0.973986,0.252012
3,2020-01-07 09:00,N/M,6.180919,17.95978,7.402666,N/M,N/M,14.15242,0.124934,N/M,N/M,16.94461,5.978415,0.488611,1.701943,0.718833
3,2020-01-07 10:00,N/M,8.406251,14.26128,6.826832,N/M,N/M,17.51407,0.247143,N/M,N/M,6.474248,6.114777,0.843388,2.575721,1.071722
3,2020-01-07 11:00,N/M,13.62944,16.88278,5.657198,N/M,N/M,15.51183,0.705048,N/M,N/M,2.512972,5.497166,0.761555,6.512332,0.855971
3,2020-01-07 12:00,N/M,7.916561,9.96764,4.568766,N/M,N/M,21.45918,0.807353,N/M,N/M,1.825943,7.4885,0.847027,8.992416,0.978361
3,2020-01-07 13:00,N/M,5.035546,7.883523,3.635365,N/M,N/M,23.89185,0.991023,N/M,N/M,0.75736,3.623986,0.466221,4.49768,0.520402
3,2020-01-07 14:00,N/M,4.154401,7.604019,3.536066,N/M,N/M,24.78097,0.652145,N/M,N/M,0.545262,3.151194,0.309666,2.767986,0.34468
3,2020-01-07 15:00,N/M,2.635207,7.801577,4.164833,N/M,N/M,24.7811,0.578724,N/M,N/M,0.403304,1.554415,0.175221,0.882402,0.181165
3,2020-01-07 16:00,N/M,1.606564,10.41841,4.968266,N/M,N/M,22.45996,0.557219,N/M,N/M,0.508194,2.517596,0.228694,1.393666,0.282263
3,2020-01-07 17:00,N/M,2.309278,20.41625,6.010509,N/M,N/M,12.73047,1.188259,N/M,N/M,1.051777,1.552888,0.244249,1.035555,0.275611
3,2020-01-07 18:00,N/M,0.617919,18.6423,7.700565,N/M,N/M,14.25107,0.862052,N/M,N/M,1.321556,1.735778,0.3146667,1.100889,0.3148889
3,2020-01-07 19:00,N/M,0.050027,17.81286,8.192866,N/M,N/M,14.81771,0.434076,N/M,N/M,0.933679,2.063457,0.219861,0.712319,0.233666
3,2020-01-07 20:00,N/M,0.102619,16.56633,9.360233,N/M,N/M,15.34079,0.287375,N/M,N/M,0.840943,2.052833,0.247694,0.841916,0.305583
3,2020-01-07 21:00,N/M,2.101413,17.71442,16.78117,N/M,N/M,12.98311,0.202215,N/M,N/M,1.410555,1.480749,0.1825,0.644055,0.219611
3,2020-01-07 22:00,N/M,2.258018,13.53916,14.86843,N/M,N/M,16.62166,0.144373,N/M,N/M,1.216611,1.689749,0.223207,0.716277,0.239096
